id,first_name,last_name,email,gender,ip_address,flight_number,airline,origin,destination,departure_date,departure_time,arrival_date,arrival_time,gate,status
4,Gardy,Whatman,gwhatman3@microsoft.com,Male,168.223.73.35,7919,Delta,Imtarfa,Capulaan,22/06/2022,3:55 AM,4/2/2022,6:17 PM,B2,On Time
5,Sly,Tuma,stuma4@tamu.edu,Male,187.112.118.233,9066,Delta,Gorelovo,Río Ceballos,29/06/2022,12:32 PM,12/4/2022,2:42 PM,C3,Delayed
7,Bron,Grassett,bgrassett6@businessinsider.com,Male,214.64.131.153,8134,Delta,Arnhem,Yuqian,16/06/2022,3:45 PM,5/17/2022,2:59 PM,C3,On Time
9,Cobbie,Brine,cbrine8@etsy.com,Male,29.109.2.241,7499,United,Chichaoua,São Brás de Alportel,19/06/2022,4:13 AM,3/8/2022,2:39 PM,B2,Delayed
10,Wilden,Scarlon,wscarlon9@google.it,Male,56.240.63.30,347,American,Duisburg,Sungaimaja,19/06/2022,5:45 PM,10/11/2022,9:46 PM,A1,Cancelled
11,Haroun,Bedrosian,hbedrosiana@wiley.com,Male,53.23.105.32,3081,United,Lobanovo,Groznyy,10/06/2022,3:43 PM,7/18/2022,10:20 AM,B2,Delayed
13,Derwin,Stafford,dstaffordc@comsenz.com,Male,56.158.234.61,1266,American,Helin,Dikou,06/06/2022,11:54 AM,12/11/2022,5:02 AM,A1,On Time
14,Billy,Cleft,bcleftd@tamu.edu,Male,26.158.183.242,8168,Delta,Charlotte,Jinshandian,12/06/2022,8:50 AM,6/29/2022,1:05 PM,B2,Delayed
18,Erwin,Gibbens,egibbensh@illinois.edu,Male,67.187.248.110,7906,Delta,El Cobre,Yunlong,11/06/2022,11:46 AM,1/21/2022,8:28 AM,C3,On Time
21,Ali,Bartlam,abartlamk@weather.com,Male,102.238.31.9,245,American,Charxin,Soras,16/06/2022,4:21 AM,3/30/2022,6:16 PM,B2,Cancelled
25,Gram,Scotsbrook,gscotsbrooko@imdb.com,Male,45.61.35.98,884,United,Tortosendo,Pitrufquén,25/06/2022,5:47 AM,3/25/2022,8:42 PM,C3,On Time
