id,first_name,last_name,email,gender,ip_address,flight_number,airline,origin,destination,departure_date,departure_time,arrival_date,arrival_time,gate,status
1,Mathilda,Elkins,melkins0@ed.gov,Female,191.112.51.107,6324,United,Enhe Hada,Lovran,28/06/2022,5:03 AM,2/23/2022,4:55 AM,B2,Delayed
2,Marie-jeanne,Runciman,mrunciman1@qq.com,Genderqueer,176.105.76.212,6129,Delta,Sergio Osmeña Sr,Xinzhou,17/06/2022,6:08 PM,1/26/2022,3:52 PM,B2,Cancelled
3,Anthiathia,Rozea,arozea2@upenn.edu,Female,179.254.64.84,7600,United,Aki,Licupis,25/06/2022,5:18 AM,7/7/2022,6:18 PM,A1,On Time
4,Gardy,Whatman,gwhatman3@microsoft.com,Male,168.223.73.35,7919,Delta,Imtarfa,Capulaan,22/06/2022,3:55 AM,4/2/2022,6:17 PM,B2,On Time
5,Sly,Tuma,stuma4@tamu.edu,Male,187.112.118.233,9066,Delta,Gorelovo,Río Ceballos,29/06/2022,12:32 PM,12/4/2022,2:42 PM,C3,Delayed
6,Lian,Moss,lmoss5@creativecommons.org,Female,250.98.68.21,7417,United,Roermond,Bafatá,21/06/2022,2:43 AM,2/13/2022,4:07 AM,B2,Cancelled
7,Bron,Grassett,bgrassett6@businessinsider.com,Male,214.64.131.153,8134,Delta,Arnhem,Yuqian,16/06/2022,3:45 PM,5/17/2022,2:59 PM,C3,On Time
8,Terry,Chettle,tchettle7@ebay.com,Female,165.63.198.249,346,American,Vilhelmina,Kisarawe,14/06/2022,10:08 AM,8/12/2022,2:08 PM,A1,Cancelled
9,Cobbie,Brine,cbrine8@etsy.com,Male,29.109.2.241,7499,United,Chichaoua,São Brás de Alportel,19/06/2022,4:13 AM,3/8/2022,2:39 PM,B2,Delayed
10,Wilden,Scarlon,wscarlon9@google.it,Male,56.240.63.30,347,American,Duisburg,Sungaimaja,19/06/2022,5:45 PM,10/11/2022,9:46 PM,A1,Cancelled
11,Haroun,Bedrosian,hbedrosiana@wiley.com,Male,53.23.105.32,3081,United,Lobanovo,Groznyy,10/06/2022,3:43 PM,7/18/2022,10:20 AM,B2,Delayed
12,Elsbeth,Shillan,eshillanb@godaddy.com,Female,250.25.14.211,8398,American,Palilula,Lembang,30/06/2022,10:29 AM,10/22/2022,11:48 PM,A1,Cancelled
13,Derwin,Stafford,dstaffordc@comsenz.com,Male,56.158.234.61,1266,American,Helin,Dikou,06/06/2022,11:54 AM,12/11/2022,5:02 AM,A1,On Time
14,Billy,Cleft,bcleftd@tamu.edu,Male,26.158.183.242,8168,Delta,Charlotte,Jinshandian,12/06/2022,8:50 AM,6/29/2022,1:05 PM,B2,Delayed
15,Emelda,Neill,eneille@naver.com,Female,138.101.66.205,8539,United,Nakhon Phanom,Besançon,19/06/2022,8:21 PM,12/22/2022,8:50 AM,A1,Cancelled
16,Margaretta,Dransfield,mdransfieldf@blogger.com,Female,154.170.53.98,7802,United,Usuki,Chirilagua,06/06/2022,10:31 PM,4/2/2022,9:36 PM,B2,On Time
17,Eleen,Morrell,emorrellg@ihg.com,Female,121.65.241.112,9566,United,Jatisari,Ust’-Kut,28/06/2022,12:39 PM,10/16/2022,6:30 PM,C3,Cancelled
18,Erwin,Gibbens,egibbensh@illinois.edu,Male,67.187.248.110,7906,Delta,El Cobre,Yunlong,11/06/2022,11:46 AM,1/21/2022,8:28 AM,C3,On Time
19,Jacquetta,Cominello,jcominelloi@smh.com.au,Female,65.110.98.126,3635,American,Curug,Patnongon,16/06/2022,11:11 PM,11/9/2022,11:50 PM,C3,Cancelled
20,Elissa,Bellefant,ebellefantj@bbb.org,Female,194.216.164.245,1193,Delta,Imbituva,Tacoma,11/06/2022,4:16 AM,12/28/2022,9:31 PM,C3,Delayed
